                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95548,                0.53388,                 1.1065,                0.86421,                 0.7356,                0.77881,                 0.5558,                   1.12,                0.56303,                 1.2646,               0.008878,               0.008878,               0.008878
                     37,                0.95387,                0.53241,                 1.1055,                0.86136,                  0.734,                0.77698,                0.55486,                 1.1194,                0.56301,                 1.2641,               0.008845,               0.008845,               0.008845
                     38,                0.95149,                0.53116,                 1.1042,                0.85615,                0.73705,                0.77821,                0.55548,                 1.1196,                0.56136,                  1.265,               0.008812,               0.008812,               0.008812
                     39,                0.95264,                0.52829,                  1.105,                0.86103,                0.73609,                0.78027,                0.55719,                 1.1198,                0.55978,                 1.2651,               0.008779,               0.008779,               0.008779
                     40,                0.95078,                0.53115,                 1.1038,                0.86256,                0.73316,                0.78006,                0.55791,                 1.1195,                   0.56,                 1.2648,               0.008746,               0.008746,               0.008746
                     41,                0.95148,                0.52543,                 1.1042,                 0.8643,                0.72787,                0.77921,                0.55763,                 1.1197,                0.56034,                 1.2652,               0.008713,               0.008713,               0.008713
                     42,                0.94898,                0.52425,                 1.1027,                0.86435,                0.72717,                0.78011,                0.55833,                 1.1202,                0.55824,                 1.2658,                0.00868,                0.00868,                0.00868
                     43,                0.94809,                0.52436,                 1.1026,                0.86561,                0.72529,                0.78022,                0.55843,                 1.1198,                0.55712,                 1.2658,               0.008647,               0.008647,               0.008647
                     44,                0.94965,                0.52139,                 1.1033,                0.86447,                0.73472,                0.78273,                0.55958,                 1.1197,                0.55346,                 1.2658,               0.008614,               0.008614,               0.008614
                     45,                0.94722,                0.52041,                 1.1022,                0.86808,                0.72923,                0.78307,                0.55914,                 1.1197,                0.55185,                 1.2658,               0.008581,               0.008581,               0.008581
                     46,                 0.9473,                0.51914,                 1.1026,                 0.8481,                0.74907,                0.78336,                0.55929,                 1.1201,                0.55013,                 1.2663,               0.008548,               0.008548,               0.008548
                     47,                0.94645,                0.51778,                 1.1018,                0.84863,                0.76039,                0.78567,                0.56094,                 1.1208,                0.54797,                 1.2671,               0.008515,               0.008515,               0.008515
                     48,                0.94576,                0.51557,                 1.1013,                0.84614,                0.76143,                0.78536,                0.56174,                  1.121,                0.54906,                 1.2674,               0.008482,               0.008482,               0.008482
