                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 2.5901,                0.55782,                0.87387,                0.82958,                0.89761,                0.83806,                 2.4477,                0.55912,               0.008647,               0.008647,               0.008647
                     44,                 2.5844,                0.55742,                0.87379,                0.82967,                0.89756,                0.83781,                 2.4501,                0.55859,               0.008614,               0.008614,               0.008614
                     45,                 2.5849,                0.55764,                0.86857,                0.83828,                0.89793,                0.83817,                 2.4515,                0.55841,               0.008581,               0.008581,               0.008581
                     46,                 2.5779,                0.55447,                0.87739,                0.83155,                0.89827,                0.83795,                 2.4544,                 0.5587,               0.008548,               0.008548,               0.008548
                     47,                 2.5786,                0.55694,                0.86124,                0.84551,                0.89379,                0.83368,                 2.4564,                0.56087,               0.008515,               0.008515,               0.008515
                     48,                 2.5719,                0.55431,                0.86334,                0.84791,                0.89493,                0.83487,                 2.4574,                0.56132,               0.008482,               0.008482,               0.008482
                     49,                 2.5718,                0.55388,                0.87689,                0.83448,                0.89399,                 0.8343,                 2.4571,                0.56097,               0.008449,               0.008449,               0.008449
                     50,                 2.5659,                0.55247,                0.88283,                0.83601,                0.89496,                0.83494,                 2.4562,                0.55985,               0.008416,               0.008416,               0.008416
                     51,                 2.5645,                0.55124,                0.87015,                0.84765,                0.89532,                0.83489,                 2.4558,                0.55975,               0.008383,               0.008383,               0.008383
                     52,                 2.5588,                 0.5502,                0.86453,                  0.856,                0.89597,                0.83528,                 2.4564,                0.56001,                0.00835,                0.00835,                0.00835
                     53,                 2.5557,                0.54795,                0.88461,                0.83771,                0.89581,                0.83499,                 2.4564,                0.56019,               0.008317,               0.008317,               0.008317
                     54,                 2.5554,                0.55005,                0.86195,                 0.8567,                0.89715,                0.83604,                 2.4567,                0.56124,               0.008284,               0.008284,               0.008284
                     55,                 2.5516,                0.54816,                0.87388,                 0.8518,                0.89727,                0.83659,                 2.4562,                0.56261,               0.008251,               0.008251,               0.008251
                     56,                 2.5505,                0.54654,                0.88204,                 0.8478,                0.89868,                0.83854,                 2.4567,                 0.5621,               0.008218,               0.008218,               0.008218
                     57,                  2.544,                0.54603,                0.88175,                0.84753,                0.89989,                0.84013,                 2.4579,                0.56041,               0.008185,               0.008185,               0.008185
                     58,                 2.5415,                0.54484,                0.87733,                0.85036,                0.90007,                0.84008,                 2.4584,                0.55967,               0.008152,               0.008152,               0.008152
                     59,                  2.535,                 0.5447,                   0.87,                0.85685,                0.90037,                0.84023,                   2.46,                0.55952,               0.008119,               0.008119,               0.008119
                     60,                 2.5339,                0.54291,                0.85404,                0.87182,                0.89812,                0.83753,                 2.4612,                0.56045,               0.008086,               0.008086,               0.008086
                     61,                 2.5322,                0.54272,                0.86324,                0.86708,                0.89665,                0.83627,                 2.4621,                0.56211,               0.008053,               0.008053,               0.008053
                     62,                 2.5257,                0.54171,                0.86372,                0.86359,                0.89779,                0.83804,                 2.4624,                0.56064,                0.00802,                0.00802,                0.00802
                     63,                 2.5234,                0.54023,                0.87535,                0.86118,                0.89867,                0.83851,                 2.4623,                 0.5608,               0.007987,               0.007987,               0.007987
                     64,                 2.5191,                0.53943,                0.86929,                0.86658,                0.89811,                0.83801,                 2.4625,                0.56264,               0.007954,               0.007954,               0.007954
                     65,                 2.5157,                0.53879,                0.88033,                 0.8626,                0.89905,                0.83975,                 2.4632,                0.56219,               0.007921,               0.007921,               0.007921
                     66,                 2.5156,                0.53853,                0.87502,                0.86596,                0.90005,                0.84077,                 2.4624,                0.55986,               0.007888,               0.007888,               0.007888
                     67,                 2.5094,                0.53761,                0.87542,                0.86488,                 0.8989,                0.83985,                 2.4635,                0.56057,               0.007855,               0.007855,               0.007855
                     68,                 2.5058,                0.53539,                0.88371,                0.85479,                0.90005,                0.84123,                 2.4627,                0.55867,               0.007822,               0.007822,               0.007822
                     69,                 2.5041,                0.53652,                0.87923,                0.85415,                0.90031,                0.84112,                 2.4632,                 0.5585,               0.007789,               0.007789,               0.007789
                     70,                 2.5022,                0.53578,                0.87342,                0.85796,                0.89914,                0.83958,                 2.4639,                 0.5604,               0.007756,               0.007756,               0.007756
                     71,                 2.4963,                0.53276,                0.86479,                0.86699,                0.89885,                0.83855,                 2.4651,                0.56063,               0.007723,               0.007723,               0.007723
                     72,                 2.4945,                0.53461,                0.86078,                0.86644,                0.89858,                 0.8377,                 2.4662,                0.56063,                0.00769,                0.00769,                0.00769
                     73,                 2.4894,                0.53199,                0.88369,                  0.843,                0.89826,                0.83779,                 2.4675,                0.56151,               0.007657,               0.007657,               0.007657
                     74,                 2.4881,                0.53115,                0.88366,                0.84294,                0.89787,                0.83803,                 2.4687,                0.56153,               0.007624,               0.007624,               0.007624
                     75,                  2.485,                0.53029,                0.88327,                0.84343,                 0.8953,                0.83569,                 2.4709,                0.56343,               0.007591,               0.007591,               0.007591
                     76,                 2.4798,                0.52929,                0.87823,                0.84842,                0.89461,                0.83477,                  2.471,                0.56467,               0.007558,               0.007558,               0.007558
                     77,                 2.4757,                 0.5286,                 0.8823,                0.84617,                 0.8961,                0.83629,                  2.473,                0.56315,               0.007525,               0.007525,               0.007525
                     78,                 2.4733,                0.52762,                0.87887,                0.85075,                0.89659,                0.83697,                 2.4718,                0.56157,               0.007492,               0.007492,               0.007492
                     79,                 2.4707,                0.52627,                0.87202,                0.85392,                 0.8953,                0.83504,                 2.4722,                 0.5621,               0.007459,               0.007459,               0.007459
                     80,                 2.4645,                0.52542,                0.86936,                0.85339,                0.89507,                0.83581,                 2.4739,                0.56068,               0.007426,               0.007426,               0.007426
                     81,                 2.4638,                0.52402,                 0.8834,                0.84379,                0.89584,                0.83598,                 2.4743,                0.55906,               0.007393,               0.007393,               0.007393
                     82,                 2.4586,                0.52398,                0.88103,                0.84022,                0.89507,                 0.8354,                 2.4741,                0.55909,                0.00736,                0.00736,                0.00736
                     83,                 2.4569,                0.52517,                0.87424,                0.84238,                0.89347,                0.83413,                 2.4743,                0.56172,               0.007327,               0.007327,               0.007327
                     84,                 2.4527,                0.52247,                0.86033,                0.85134,                0.89408,                0.83441,                 2.4763,                0.56111,               0.007294,               0.007294,               0.007294
                     85,                 2.4499,                0.52126,                 0.8629,                0.85424,                0.89403,                 0.8343,                 2.4766,                0.56108,               0.007261,               0.007261,               0.007261
                     86,                 2.4438,                0.52176,                0.86144,                0.85374,                0.89287,                0.83315,                   2.48,                0.56408,               0.007228,               0.007228,               0.007228
                     87,                 2.4413,                0.52097,                0.86009,                0.84891,                 0.8917,                0.83208,                 2.4785,                0.56509,               0.007195,               0.007195,               0.007195
                     88,                 2.4373,                0.51841,                0.86894,                0.84176,                0.88938,                0.83031,                 2.4787,                0.56886,               0.007162,               0.007162,               0.007162
                     89,                 2.4351,                0.51918,                0.87575,                0.83002,                0.88967,                 0.8314,                 2.4791,                0.57188,               0.007129,               0.007129,               0.007129
                     90,                 2.4328,                0.51779,                0.87301,                 0.8335,                0.88775,                0.82837,                 2.4809,                0.57407,               0.007096,               0.007096,               0.007096
                     91,                 2.4263,                0.51635,                0.88213,                0.83006,                0.88662,                 0.8279,                 2.4855,                 0.5751,               0.007063,               0.007063,               0.007063
                     92,                 2.4285,                 0.5155,                0.87095,                0.84319,                0.88408,                0.82597,                 2.4867,                0.57751,                0.00703,                0.00703,                0.00703
                     93,                 2.4229,                 0.5151,                0.86044,                0.84875,                0.88576,                0.82681,                 2.4889,                0.58077,               0.006997,               0.006997,               0.006997
                     94,                 2.4159,                0.51377,                0.86215,                0.84849,                0.88574,                0.82628,                 2.4917,                0.58196,               0.006964,               0.006964,               0.006964
                     95,                  2.415,                0.51224,                0.86142,                0.85503,                0.88539,                0.82592,                 2.4929,                0.57906,               0.006931,               0.006931,               0.006931
                     96,                 2.4106,                0.51205,                0.87787,                0.84271,                0.88631,                0.82753,                 2.4929,                0.57808,               0.006898,               0.006898,               0.006898
                     97,                 2.4089,                 0.5119,                0.87947,                0.84208,                 0.8869,                0.82852,                 2.4938,                0.57877,               0.006865,               0.006865,               0.006865
                     98,                 2.4033,                0.51004,                 0.8899,                0.83004,                0.88655,                0.82783,                 2.4952,                0.58134,               0.006832,               0.006832,               0.006832
                     99,                 2.4005,                0.50949,                0.89228,                 0.8268,                0.88641,                0.82787,                 2.4956,                0.58251,               0.006799,               0.006799,               0.006799
                    100,                 2.3968,                 0.5092,                0.85977,                0.85626,                0.88673,                0.82835,                 2.4949,                0.58004,               0.006766,               0.006766,               0.006766
                    101,                 2.3941,                0.50783,                0.86086,                0.84936,                0.88347,                0.82484,                 2.4984,                0.58272,               0.006733,               0.006733,               0.006733
                    102,                 2.3897,                 0.5081,                0.87602,                0.83329,                0.88197,                0.82335,                 2.5029,                0.58714,                 0.0067,                 0.0067,                 0.0067
                    103,                 2.3879,                0.50646,                0.86605,                0.83915,                0.88195,                0.82339,                 2.5055,                0.59314,               0.006667,               0.006667,               0.006667
                    104,                 2.3807,                0.50565,                0.86861,                0.84311,                0.88246,                0.82373,                 2.5115,                0.59008,               0.006634,               0.006634,               0.006634
                    105,                 2.3795,                0.50579,                0.87865,                0.83096,                0.87934,                 0.8203,                 2.5134,                0.59207,               0.006601,               0.006601,               0.006601
