                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.62767,                0.46142,                0.86467,                0.85355,                0.89526,                0.83571,                0.63346,                0.49772,               0.008614,               0.008614,               0.008614
                     45,                 0.6261,                0.46156,                0.86334,                0.85784,                0.89553,                0.83577,                0.63536,                0.49851,               0.008581,               0.008581,               0.008581
                     46,                0.62513,                 0.4598,                0.86422,                0.86269,                0.89455,                0.83557,                0.63499,                0.49979,               0.008548,               0.008548,               0.008548
                     47,                 0.6235,                0.45837,                0.87212,                0.85871,                0.89484,                0.83605,                0.63102,                0.50034,               0.008515,               0.008515,               0.008515
                     48,                0.62147,                 0.4591,                0.86627,                 0.8658,                0.89471,                0.83563,                0.62723,                0.50152,               0.008482,               0.008482,               0.008482
                     49,                0.61994,                0.45688,                0.87887,                0.86138,                0.89772,                0.83831,                0.62504,                0.49769,               0.008449,               0.008449,               0.008449
                     50,                0.61669,                0.45482,                0.89305,                0.84846,                0.89916,                0.83938,                0.62553,                0.49726,               0.008416,               0.008416,               0.008416
                     51,                0.61797,                0.45386,                0.88775,                0.85286,                0.89935,                0.84011,                 0.6253,                0.49664,               0.008383,               0.008383,               0.008383
                     52,                0.61304,                0.45196,                0.89472,                0.84665,                0.90009,                 0.8405,                 0.6252,                0.49491,                0.00835,                0.00835,                0.00835
                     53,                0.61173,                0.45287,                0.89312,                0.84433,                0.89807,                0.83897,                0.62588,                0.49627,               0.008317,               0.008317,               0.008317
                     54,                0.61064,                0.45138,                0.88256,                0.85544,                0.89799,                0.83902,                0.62795,                0.49717,               0.008284,               0.008284,               0.008284
                     55,                0.61008,                0.44973,                0.88604,                0.85642,                0.89888,                 0.8402,                 0.6283,                0.49608,               0.008251,               0.008251,               0.008251
                     56,                0.60755,                0.44988,                0.88313,                0.85292,                0.90033,                0.84186,                0.62745,                0.49267,               0.008218,               0.008218,               0.008218
                     57,                0.60636,                0.44831,                0.89289,                0.84821,                0.90093,                0.84255,                0.62778,                0.49292,               0.008185,               0.008185,               0.008185
                     58,                0.60345,                0.44724,                0.89365,                0.84411,                0.90129,                0.84294,                0.62729,                0.49119,               0.008152,               0.008152,               0.008152
                     59,                0.60143,                0.44603,                0.88075,                0.85515,                0.90147,                0.84302,                0.62734,                0.49047,               0.008119,               0.008119,               0.008119
                     60,                0.59947,                0.44487,                0.87215,                0.86297,                0.90041,                0.84226,                0.62739,                0.48929,               0.008086,               0.008086,               0.008086
                     61,                0.59895,                0.44482,                0.87569,                0.86428,                0.90135,                0.84269,                0.62672,                0.48772,               0.008053,               0.008053,               0.008053
                     62,                0.59535,                0.44346,                0.87915,                0.86079,                0.90285,                0.84364,                 0.6255,                0.48363,                0.00802,                0.00802,                0.00802
                     63,                0.59573,                0.44291,                0.87451,                0.86802,                0.90293,                 0.8448,                0.62519,                0.48188,               0.007987,               0.007987,               0.007987
                     64,                0.59226,                0.44135,                0.88168,                0.86172,                 0.9055,                0.84717,                0.62369,                  0.476,               0.007954,               0.007954,               0.007954
                     65,                0.59156,                0.44047,                0.88524,                0.86199,                 0.9058,                0.84722,                0.62626,                0.47718,               0.007921,               0.007921,               0.007921
                     66,                0.58975,                0.43862,                0.88515,                0.85758,                0.90536,                0.84703,                0.62735,                0.47701,               0.007888,               0.007888,               0.007888
                     67,                0.58751,                0.43887,                0.88466,                0.85757,                0.90528,                0.84709,                 0.6282,                0.47751,               0.007855,               0.007855,               0.007855
                     68,                0.58614,                0.43725,                0.88463,                 0.8588,                0.90563,                0.84731,                0.62968,                0.47801,               0.007822,               0.007822,               0.007822
                     69,                0.58531,                0.43712,                0.89063,                0.85699,                0.90527,                0.84734,                 0.6313,                0.47795,               0.007789,               0.007789,               0.007789
                     70,                0.58278,                0.43566,                0.89582,                0.84852,                0.90225,                0.84432,                0.63226,                0.47804,               0.007756,               0.007756,               0.007756
                     71,                0.57945,                0.43327,                0.87311,                0.86419,                0.90039,                 0.8418,                0.63373,                  0.482,               0.007723,               0.007723,               0.007723
                     72,                0.57866,                0.43349,                0.87479,                0.86506,                 0.8986,                0.84042,                0.63665,                0.48587,                0.00769,                0.00769,                0.00769
                     73,                0.57673,                0.43169,                0.87956,                0.85974,                0.89757,                0.83969,                0.64008,                 0.4868,               0.007657,               0.007657,               0.007657
                     74,                0.57562,                0.43155,                 0.8863,                0.85096,                 0.8959,                 0.8378,                0.64136,                0.48879,               0.007624,               0.007624,               0.007624
                     75,                0.57332,                0.43013,                0.88666,                0.85215,                0.89377,                0.83492,                0.64348,                0.48935,               0.007591,               0.007591,               0.007591
                     76,                0.57227,                0.42971,                0.89547,                0.85201,                0.89257,                0.83309,                0.64509,                0.49057,               0.007558,               0.007558,               0.007558
                     77,                0.56995,                 0.4292,                0.89051,                0.84926,                0.89172,                0.83202,                0.64475,                0.48825,               0.007525,               0.007525,               0.007525
                     78,                0.56755,                0.42752,                0.89226,                0.84681,                0.89054,                0.83167,                 0.6447,                0.49151,               0.007492,               0.007492,               0.007492
                     79,                0.56694,                0.42589,                0.88907,                 0.8495,                0.88814,                0.82903,                0.64778,                 0.4946,               0.007459,               0.007459,               0.007459
                     80,                0.56359,                0.42449,                 0.8938,                 0.8504,                0.88795,                0.82922,                0.64954,                0.49617,               0.007426,               0.007426,               0.007426
                     81,                0.56276,                0.42387,                0.89416,                0.85314,                0.88912,                0.83032,                0.65074,                0.49354,               0.007393,               0.007393,               0.007393
                     82,                0.56173,                 0.4242,                0.89892,                0.84534,                0.88928,                0.83026,                0.65005,                0.49372,                0.00736,                0.00736,                0.00736
                     83,                0.56101,                0.42353,                0.90372,                0.84305,                0.89084,                0.83174,                0.65003,                0.49337,               0.007327,               0.007327,               0.007327
                     84,                0.55804,                0.42065,                0.87721,                0.86708,                0.88947,                0.82975,                0.65093,                0.49557,               0.007294,               0.007294,               0.007294
                     85,                0.55697,                0.42118,                0.88186,                0.86128,                 0.8887,                0.82915,                0.65177,                0.49738,               0.007261,               0.007261,               0.007261
                     86,                0.55514,                0.42014,                0.89034,                 0.8553,                0.88843,                 0.8292,                0.65317,                0.50055,               0.007228,               0.007228,               0.007228
                     87,                0.55275,                0.41956,                0.88637,                0.86039,                0.88857,                  0.829,                0.65382,                0.50765,               0.007195,               0.007195,               0.007195
                     88,                0.55201,                0.41898,                0.88944,                 0.8586,                0.88729,                 0.8283,                0.65574,                0.51346,               0.007162,               0.007162,               0.007162
                     89,                0.54918,                0.41663,                 0.8834,                0.86183,                0.88728,                0.82898,                0.65764,                0.52065,               0.007129,               0.007129,               0.007129
                     90,                0.54821,                0.41652,                 0.8808,                0.86049,                0.88672,                0.82845,                0.65906,                0.52495,               0.007096,               0.007096,               0.007096
                     91,                0.54632,                0.41524,                0.88446,                0.86332,                0.88671,                0.82845,                0.66073,                0.52957,               0.007063,               0.007063,               0.007063
                     92,                0.54679,                0.41552,                0.88822,                0.85456,                0.88562,                0.82772,                0.66009,                 0.5325,                0.00703,                0.00703,                0.00703
                     93,                0.54351,                0.41548,                 0.9019,                0.84434,                0.88592,                0.82801,                0.65952,                0.52839,               0.006997,               0.006997,               0.006997
                     94,                0.54049,                 0.4127,                0.89399,                0.85366,                0.88617,                0.82839,                0.65804,                0.52765,               0.006964,               0.006964,               0.006964
                     95,                0.54046,                0.41295,                0.89771,                 0.8521,                0.88432,                0.82713,                   0.66,                0.53533,               0.006931,               0.006931,               0.006931
                     96,                0.53928,                0.41109,                0.89809,                0.85234,                0.88317,                0.82564,                0.66106,                  0.543,               0.006898,               0.006898,               0.006898
                     97,                0.53621,                0.40997,                0.90584,                0.84531,                0.88275,                0.82603,                0.66117,                 0.5454,               0.006865,               0.006865,               0.006865
                     98,                0.53502,                0.40976,                0.91345,                0.83711,                0.88224,                0.82447,                0.66397,                0.55105,               0.006832,               0.006832,               0.006832
                     99,                0.53376,                0.40898,                0.90639,                0.84009,                0.88206,                0.82436,                0.66192,                0.54575,               0.006799,               0.006799,               0.006799
                    100,                0.53177,                0.40712,                 0.8956,                0.84446,                0.87959,                 0.8216,                0.66194,                0.55447,               0.006766,               0.006766,               0.006766
                    101,                0.52998,                0.40701,                0.89378,                0.84577,                0.87828,                0.82032,                0.66337,                0.55707,               0.006733,               0.006733,               0.006733
                    102,                0.52734,                 0.4063,                0.89799,                0.83678,                 0.8779,                0.81973,                0.66812,                0.55596,                 0.0067,                 0.0067,                 0.0067
                    103,                0.52638,                0.40413,                0.90283,                0.83052,                0.87819,                0.82061,                0.66966,                0.55357,               0.006667,               0.006667,               0.006667
                    104,                0.52442,                0.40504,                0.89815,                0.83261,                0.87698,                0.81945,                 0.6723,                0.56581,               0.006634,               0.006634,               0.006634
                    105,                0.52391,                0.40419,                0.89576,                0.83323,                0.87492,                0.81818,                0.67425,                0.57101,               0.006601,               0.006601,               0.006601
                    106,                0.52257,                0.40376,                0.89152,                0.83233,                 0.8775,                0.81995,                0.67654,                0.57389,               0.006568,               0.006568,               0.006568
                    107,                0.52031,                0.40118,                0.90952,                0.82543,                0.87984,                 0.8223,                0.67819,                0.56939,               0.006535,               0.006535,               0.006535
                    108,                 0.5179,                 0.4001,                0.88972,                  0.848,                0.88259,                0.82371,                 0.6796,                0.56052,               0.006502,               0.006502,               0.006502
                    109,                0.51598,                0.40024,                0.91224,                0.83433,                0.88395,                0.82464,                0.68044,                0.55322,               0.006469,               0.006469,               0.006469
                    110,                0.51498,                0.39789,                0.89758,                0.84311,                0.88417,                0.82494,                 0.6832,                0.55932,               0.006436,               0.006436,               0.006436
                    111,                0.51369,                0.39833,                0.89924,                0.84227,                0.88039,                0.82162,                0.68845,                0.56989,               0.006403,               0.006403,               0.006403
                    112,                0.51096,                0.39733,                0.90793,                0.83423,                0.87988,                 0.8199,                0.68982,                0.56771,                0.00637,                0.00637,                0.00637
                    113,                0.51115,                0.39734,                0.89714,                0.84192,                0.87638,                0.81692,                0.69113,                0.57163,               0.006337,               0.006337,               0.006337
                    114,                0.50908,                 0.3959,                0.90597,                0.83011,                0.87402,                0.81523,                0.69306,                0.57724,               0.006304,               0.006304,               0.006304
                    115,                0.50585,                0.39361,                0.91185,                0.82433,                0.87176,                0.81353,                0.69245,                0.57443,               0.006271,               0.006271,               0.006271
                    116,                 0.5043,                0.39446,                 0.9113,                0.82929,                0.86997,                0.81253,                0.69112,                0.57097,               0.006238,               0.006238,               0.006238
                    117,                0.50237,                 0.3942,                 0.9135,                0.82421,                0.87166,                0.81382,                0.68984,                0.56334,               0.006205,               0.006205,               0.006205
                    118,                0.50136,                0.39295,                 0.9137,                0.82309,                 0.8717,                0.81359,                0.69239,                0.56263,               0.006172,               0.006172,               0.006172
