                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.61342,                0.46034,                0.87279,                0.83248,                0.87592,                0.81622,                0.64089,                0.50492,               0.008614,               0.008614,               0.008614
                     45,                0.61219,                0.46034,                0.87013,                 0.8317,                0.87422,                 0.8148,                0.64022,                0.50807,               0.008581,               0.008581,               0.008581
                     46,                0.60935,                0.45858,                0.87216,                0.82977,                0.87161,                0.81249,                0.63956,                0.51052,               0.008548,               0.008548,               0.008548
                     47,                0.60657,                0.45784,                0.87213,                0.82971,                0.87192,                0.81207,                0.63908,                0.51148,               0.008515,               0.008515,               0.008515
                     48,                0.60514,                0.45561,                0.86718,                0.82783,                0.87073,                0.81086,                0.63842,                0.51225,               0.008482,               0.008482,               0.008482
                     49,                0.60122,                0.45357,                0.87345,                0.82752,                0.86983,                0.80917,                0.63888,                0.51509,               0.008449,               0.008449,               0.008449
                     50,                0.59999,                0.45427,                0.87722,                0.82059,                0.86933,                0.80874,                0.63889,                0.51645,               0.008416,               0.008416,               0.008416
                     51,                0.59868,                0.45349,                 0.8836,                0.82011,                0.87031,                0.80935,                0.63852,                 0.5155,               0.008383,               0.008383,               0.008383
                     52,                0.59541,                0.45167,                0.87896,                0.83063,                0.87077,                0.80924,                0.63819,                0.51598,                0.00835,                0.00835,                0.00835
                     53,                0.59425,                0.45028,                 0.8831,                0.82172,                0.86879,                 0.8074,                0.63758,                0.52013,               0.008317,               0.008317,               0.008317
                     54,                0.59265,                0.44882,                0.88612,                0.82086,                0.86859,                0.80731,                0.63628,                0.52148,               0.008284,               0.008284,               0.008284
                     55,                 0.5907,                0.44814,                0.88816,                0.82053,                0.86707,                0.80642,                0.63533,                0.52276,               0.008251,               0.008251,               0.008251
                     56,                0.58816,                0.44654,                 0.8847,                0.82363,                0.86422,                0.80355,                0.63482,                0.52694,               0.008218,               0.008218,               0.008218
                     57,                0.58508,                0.44563,                0.88409,                0.82077,                 0.8627,                0.80321,                0.63518,                   0.53,               0.008185,               0.008185,               0.008185
                     58,                0.58408,                0.44537,                0.87099,                0.82056,                0.86078,                0.80157,                0.63541,                0.53523,               0.008152,               0.008152,               0.008152
                     59,                0.58087,                0.44292,                0.87475,                0.81462,                0.85902,                0.79977,                0.63571,                0.53766,               0.008119,               0.008119,               0.008119
                     60,                0.58011,                 0.4414,                0.86284,                0.82077,                0.85935,                0.79961,                0.63557,                 0.5396,               0.008086,               0.008086,               0.008086
                     61,                 0.5771,                0.44037,                0.87138,                 0.8232,                0.86393,                0.80422,                0.63589,                0.53348,               0.008053,               0.008053,               0.008053
                     62,                0.57397,                0.43869,                0.86347,                0.82977,                0.86286,                 0.8033,                0.63741,                0.53433,                0.00802,                0.00802,                0.00802
                     63,                0.57195,                0.43835,                0.86316,                0.83251,                0.86197,                0.80278,                0.63816,                0.53352,               0.007987,               0.007987,               0.007987
                     64,                0.57211,                 0.4376,                0.86114,                0.83373,                0.86237,                0.80351,                0.63961,                0.53439,               0.007954,               0.007954,               0.007954
                     65,                0.57003,                0.43544,                0.87253,                0.82492,                0.86281,                0.80389,                0.64042,                0.53667,               0.007921,               0.007921,               0.007921
                     66,                0.56813,                0.43555,                0.86831,                0.83003,                 0.8647,                0.80591,                0.64041,                 0.5307,               0.007888,               0.007888,               0.007888
                     67,                0.56537,                0.43448,                0.87145,                0.82745,                0.86526,                0.80615,                0.64114,                0.53012,               0.007855,               0.007855,               0.007855
                     68,                0.56432,                0.43237,                0.87054,                0.82525,                0.86293,                0.80412,                0.64311,                0.53424,               0.007822,               0.007822,               0.007822
                     69,                0.56224,                0.43194,                0.87147,                0.82208,                 0.8618,                 0.8035,                0.64354,                0.53609,               0.007789,               0.007789,               0.007789
                     70,                0.56004,                0.43205,                0.87243,                0.82309,                0.86249,                0.80339,                0.64502,                0.53748,               0.007756,               0.007756,               0.007756
                     71,                0.55883,                0.42954,                0.87162,                 0.8228,                 0.8613,                0.80169,                0.64642,                0.53878,               0.007723,               0.007723,               0.007723
                     72,                0.55521,                 0.4291,                0.87077,                 0.8177,                0.85893,                 0.7996,                 0.6473,                0.53985,                0.00769,                0.00769,                0.00769
                     73,                0.55443,                0.42705,                0.86603,                 0.8191,                0.85964,                0.80015,                0.64824,                0.53891,               0.007657,               0.007657,               0.007657
                     74,                0.55271,                0.42686,                0.87816,                0.81201,                0.85846,                0.79876,                0.64938,                0.54737,               0.007624,               0.007624,               0.007624
                     75,                0.54992,                0.42537,                0.88224,                0.80305,                0.85802,                 0.7986,                0.64897,                0.55046,               0.007591,               0.007591,               0.007591
                     76,                0.54797,                0.42407,                0.86158,                0.82448,                0.85801,                0.79833,                0.64915,                0.54898,               0.007558,               0.007558,               0.007558
                     77,                0.54689,                 0.4234,                0.86024,                0.82712,                0.85756,                0.79801,                0.65022,                0.54483,               0.007525,               0.007525,               0.007525
                     78,                0.54642,                 0.4243,                0.85836,                 0.8232,                 0.8575,                0.79782,                0.65059,                0.53922,               0.007492,               0.007492,               0.007492
                     79,                0.54313,                0.42141,                  0.893,                0.79673,                0.85766,                0.79825,                0.65109,                0.53582,               0.007459,               0.007459,               0.007459
                     80,                0.54115,                0.42104,                0.88904,                0.80087,                0.85761,                0.79786,                0.65198,                0.53897,               0.007426,               0.007426,               0.007426
                     81,                0.53941,                0.41959,                0.88044,                0.80771,                0.85543,                0.79623,                 0.6527,                 0.5407,               0.007393,               0.007393,               0.007393
                     82,                0.53809,                0.41899,                0.88955,                0.80947,                0.85315,                0.79433,                0.65334,                0.54887,                0.00736,                0.00736,                0.00736
                     83,                0.53546,                0.41823,                0.89238,                0.80945,                 0.8537,                0.79431,                0.65344,                0.54837,               0.007327,               0.007327,               0.007327
                     84,                0.53321,                0.41543,                0.89032,                0.80813,                0.85476,                0.79587,                0.65418,                0.54761,               0.007294,               0.007294,               0.007294
                     85,                0.53175,                0.41497,                0.87637,                0.82193,                0.85719,                0.79849,                 0.6547,                0.54765,               0.007261,               0.007261,               0.007261
                     86,                0.53013,                0.41562,                0.88754,                0.80675,                 0.8586,                0.80015,                0.65431,                0.54334,               0.007228,               0.007228,               0.007228
                     87,                0.52933,                0.41413,                0.86706,                0.82605,                0.86034,                0.80038,                0.65462,                0.53503,               0.007195,               0.007195,               0.007195
                     88,                0.52646,                0.41339,                 0.8787,                0.81737,                0.85981,                0.80064,                0.65575,                0.53675,               0.007162,               0.007162,               0.007162
                     89,                 0.5252,                0.41212,                0.89545,                0.80546,                0.85885,                 0.7999,                0.65688,                0.53921,               0.007129,               0.007129,               0.007129
                     90,                 0.5226,                0.41057,                0.87856,                0.81331,                0.85519,                0.79634,                0.65901,                0.54777,               0.007096,               0.007096,               0.007096
                     91,                0.52239,                0.40922,                0.87557,                  0.814,                0.85148,                0.79358,                0.66039,                 0.5481,               0.007063,               0.007063,               0.007063
                     92,                0.52008,                0.41039,                0.87819,                 0.8074,                0.85136,                0.79307,                0.66176,                 0.5515,                0.00703,                0.00703,                0.00703
