                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95571,                0.54803,                 1.1046,                0.87208,                0.79033,                0.83493,                0.58051,                 1.1257,                0.56607,                 1.2713,               0.008878,               0.008878,               0.008878
                     37,                0.95526,                0.54634,                 1.1045,                0.87573,                0.79373,                0.83673,                0.58194,                 1.1258,                0.56463,                 1.2715,               0.008845,               0.008845,               0.008845
                     38,                0.95549,                0.54433,                 1.1046,                0.87652,                0.79159,                0.83811,                0.58205,                 1.1258,                0.56235,                 1.2708,               0.008812,               0.008812,               0.008812
                     39,                0.95422,                0.54442,                 1.1041,                 0.8784,                0.78667,                0.83783,                0.58188,                 1.1257,                 0.5611,                 1.2702,               0.008779,               0.008779,               0.008779
                     40,                0.95407,                0.54423,                  1.104,                0.88936,                0.78458,                0.83776,                0.58232,                 1.1256,                0.56209,                 1.2696,               0.008746,               0.008746,               0.008746
                     41,                0.95268,                0.54257,                 1.1033,                0.87932,                 0.7893,                0.83825,                 0.5818,                 1.1257,                0.56138,                 1.2697,               0.008713,               0.008713,               0.008713
                     42,                0.95325,                0.54065,                 1.1035,                0.86969,                0.79507,                0.83696,                0.58191,                 1.1256,                0.56144,                 1.2696,                0.00868,                0.00868,                0.00868
                     43,                0.95096,                 0.5415,                 1.1022,                0.87473,                0.79815,                0.83685,                0.58206,                 1.1248,                0.56185,                 1.2687,               0.008647,               0.008647,               0.008647
                     44,                0.95086,                0.53695,                 1.1022,                0.87465,                0.79938,                0.83657,                 0.5822,                 1.1241,                0.56165,                 1.2677,               0.008614,               0.008614,               0.008614
                     45,                0.95125,                0.53731,                 1.1028,                0.87454,                0.79835,                0.83695,                0.58141,                 1.1241,                 0.5609,                  1.268,               0.008581,               0.008581,               0.008581
                     46,                 0.9506,                0.53683,                 1.1021,                0.88536,                0.79056,                 0.8376,                 0.5814,                 1.1242,                0.56144,                 1.2686,               0.008548,               0.008548,               0.008548
                     47,                0.94929,                0.53605,                 1.1015,                0.88439,                0.79917,                0.83874,                0.58259,                 1.1243,                0.56048,                 1.2693,               0.008515,               0.008515,               0.008515
                     48,                0.94898,                0.53452,                 1.1016,                0.88409,                0.79988,                0.83921,                0.58259,                  1.126,                0.56037,                 1.2718,               0.008482,               0.008482,               0.008482
                     49,                0.94683,                0.53545,                 1.1001,                0.88526,                0.80071,                  0.839,                0.58282,                 1.1255,                0.56107,                 1.2717,               0.008449,               0.008449,               0.008449
                     50,                0.94798,                0.53274,                 1.1009,                  0.882,                0.80449,                0.83996,                0.58331,                 1.1256,                0.56062,                 1.2715,               0.008416,               0.008416,               0.008416
                     51,                0.94612,                0.53382,                 1.0998,                0.88458,                0.80321,                0.84091,                0.58471,                 1.1255,                0.56038,                 1.2717,               0.008383,               0.008383,               0.008383
                     52,                0.94622,                0.53243,                 1.0999,                0.88121,                0.80014,                0.84137,                0.58527,                 1.1244,                0.55987,                 1.2709,                0.00835,                0.00835,                0.00835
                     53,                0.94555,                0.53219,                 1.0995,                0.88564,                0.79351,                0.84033,                0.58445,                 1.1245,                0.56067,                  1.271,               0.008317,               0.008317,               0.008317
                     54,                0.94506,                0.52922,                 1.0991,                0.88601,                0.78733,                0.83856,                0.58257,                 1.1245,                0.56118,                 1.2707,               0.008284,               0.008284,               0.008284
                     55,                0.94442,                0.52821,                 1.0989,                0.87988,                0.79346,                0.83911,                0.58311,                 1.1248,                0.55959,                 1.2712,               0.008251,               0.008251,               0.008251
                     56,                0.94346,                0.52702,                 1.0986,                0.86485,                0.79679,                0.83878,                0.58368,                 1.1252,                0.56048,                 1.2718,               0.008218,               0.008218,               0.008218
                     57,                0.94322,                0.52797,                 1.0983,                0.85402,                0.80596,                0.83891,                0.58467,                 1.1259,                0.56036,                 1.2723,               0.008185,               0.008185,               0.008185
                     58,                0.94318,                0.52327,                 1.0984,                0.85698,                0.80836,                0.83959,                0.58491,                 1.1266,                0.55883,                 1.2727,               0.008152,               0.008152,               0.008152
                     59,                0.94326,                0.52481,                 1.0984,                0.85967,                0.80973,                0.84104,                0.58688,                 1.1268,                0.55692,                 1.2729,               0.008119,               0.008119,               0.008119
                     60,                0.94213,                0.52593,                 1.0983,                0.87343,                  0.797,                0.83961,                0.58563,                 1.1276,                0.55768,                 1.2737,               0.008086,               0.008086,               0.008086
                     61,                0.94184,                0.52123,                 1.0978,                0.87784,                  0.797,                0.83934,                0.58457,                  1.128,                0.55757,                 1.2737,               0.008053,               0.008053,               0.008053
                     62,                0.94064,                0.52286,                 1.0975,                0.87303,                 0.8005,                 0.8404,                 0.5861,                 1.1281,                 0.5577,                 1.2735,                0.00802,                0.00802,                0.00802
                     63,                0.93881,                0.52201,                 1.0959,                0.87351,                0.79825,                 0.8415,                0.58593,                 1.1284,                0.55841,                 1.2741,               0.007987,               0.007987,               0.007987
                     64,                0.94094,                0.52032,                 1.0974,                0.86526,                0.80995,                0.84242,                 0.5879,                 1.1291,                0.55755,                 1.2749,               0.007954,               0.007954,               0.007954
                     65,                0.93955,                0.52075,                 1.0966,                0.87304,                0.80859,                0.84345,                0.58788,                 1.1295,                0.55693,                  1.275,               0.007921,               0.007921,               0.007921
                     66,                0.93831,                0.51846,                 1.0961,                0.87631,                0.80482,                0.84293,                0.58802,                 1.1297,                0.55655,                 1.2747,               0.007888,               0.007888,               0.007888
                     67,                0.93652,                0.51934,                 1.0949,                0.87673,                0.81027,                0.84282,                0.58726,                 1.1304,                0.55649,                 1.2755,               0.007855,               0.007855,               0.007855
                     68,                0.93703,                0.51759,                 1.0952,                 0.8734,                 0.8084,                0.84266,                0.58639,                 1.1303,                0.55791,                 1.2751,               0.007822,               0.007822,               0.007822
                     69,                0.93691,                0.51479,                 1.0951,                0.87952,                0.80107,                0.84084,                 0.5852,                 1.1306,                0.55847,                 1.2742,               0.007789,               0.007789,               0.007789
                     70,                0.93573,                0.51716,                 1.0946,                0.87262,                0.80607,                0.84014,                0.58456,                 1.1315,                0.55808,                 1.2746,               0.007756,               0.007756,               0.007756
                     71,                0.93638,                 0.5149,                 1.0951,                0.87234,                0.80647,                0.84108,                0.58529,                 1.1319,                0.55763,                 1.2755,               0.007723,               0.007723,               0.007723
                     72,                0.93529,                0.51304,                 1.0944,                0.87546,                0.80562,                0.84151,                0.58562,                  1.132,                0.55597,                 1.2761,                0.00769,                0.00769,                0.00769
                     73,                0.93385,                0.51462,                 1.0936,                0.87389,                0.80499,                0.84154,                0.58586,                 1.1321,                 0.5551,                 1.2764,               0.007657,               0.007657,               0.007657
                     74,                 0.9345,                0.51119,                 1.0939,                0.87204,                0.80737,                0.84185,                0.58653,                 1.1322,                0.55428,                 1.2766,               0.007624,               0.007624,               0.007624
                     75,                0.93295,                0.51131,                  1.093,                0.86345,                0.81506,                 0.8424,                0.58613,                 1.1321,                0.55498,                 1.2766,               0.007591,               0.007591,               0.007591
                     76,                0.93284,                0.51051,                 1.0932,                0.86871,                0.81245,                0.84198,                0.58612,                 1.1322,                0.55525,                 1.2771,               0.007558,               0.007558,               0.007558
                     77,                0.93482,                0.50709,                 1.0944,                0.87109,                0.81133,                0.84126,                0.58597,                 1.1329,                0.55648,                 1.2781,               0.007525,               0.007525,               0.007525
                     78,                0.93337,                0.50794,                 1.0937,                0.86711,                0.80962,                0.83894,                0.58407,                 1.1324,                  0.559,                 1.2777,               0.007492,               0.007492,               0.007492
                     79,                0.93219,                0.50887,                 1.0932,                0.86045,                0.81491,                0.83795,                0.58321,                  1.133,                0.55911,                 1.2778,               0.007459,               0.007459,               0.007459
                     80,                0.93123,                0.50864,                 1.0925,                0.86264,                0.81086,                0.83906,                0.58552,                  1.133,                0.55776,                 1.2784,               0.007426,               0.007426,               0.007426
                     81,                0.93284,                0.50469,                 1.0934,                0.87159,                0.80614,                0.83992,                0.58631,                 1.1327,                 0.5572,                 1.2783,               0.007393,               0.007393,               0.007393
                     82,                0.93227,                0.50239,                 1.0932,                0.87088,                0.80826,                0.84059,                0.58703,                 1.1332,                 0.5557,                 1.2794,                0.00736,                0.00736,                0.00736
